zipf,policy,period,turnover_s,mean_view_age,hit_rate,ttft_p50,ttft_p99,view_fp_rate,view_fn_rate,routing_regret_rate,execution_fp_rate,predicted_fp_rate,load_cv,queue_cv
nan,longest_prefix,0.0,136.41,0.00000,0.40822,0.18510,6.55746,0.00000,0.00000,0.00000,0.00127,0.00000,0.49987,0.51940
nan,longest_prefix,0.5,136.41,0.49841,0.32929,0.40255,1545.59861,0.00041,0.00016,0.00000,0.00937,0.00003,2.35215,2.64406
nan,longest_prefix,1.0,136.41,0.99712,0.32929,0.40255,1545.59861,0.00071,0.00028,0.00000,0.00956,0.00003,2.35215,2.64406
nan,longest_prefix,2.0,136.41,1.50249,0.32929,0.40255,1545.59861,0.00073,0.00110,0.00000,0.00876,0.00003,2.35215,2.64406
nan,longest_prefix,5.0,136.41,3.03693,0.32929,0.40255,1545.59861,0.00073,0.00110,0.00000,0.00876,0.00005,2.35215,2.64406
nan,longest_prefix,10.0,136.41,5.54249,0.32929,0.40255,1545.59861,0.00246,0.00123,0.00000,0.01018,0.00013,2.35215,2.64406
nan,longest_prefix,30.0,136.41,17.19804,0.32929,0.40255,1545.59861,0.01179,0.00231,0.00000,0.01705,0.00046,2.35215,2.64406
nan,hybrid,0.0,138.93,0.00000,0.41827,0.21120,6.21607,0.00000,0.00000,0.00586,0.00240,0.00000,0.07858,0.19782
nan,hybrid,0.5,138.93,0.49841,0.42310,0.22170,6.52395,0.00035,0.00000,0.01011,0.00135,0.00105,0.07754,0.15487
nan,hybrid,1.0,138.93,0.99712,0.42310,0.22170,6.52395,0.00035,0.00000,0.01011,0.00135,0.00105,0.07754,0.15487
nan,hybrid,2.0,138.93,1.50249,0.42310,0.22170,6.52395,0.00035,0.00000,0.01011,0.00135,0.00104,0.07754,0.15487
nan,hybrid,5.0,138.93,3.03693,0.41929,0.22730,6.48545,0.00163,0.00000,0.00788,0.00197,0.00267,0.08291,0.20967
nan,hybrid,10.0,138.93,5.54249,0.42143,0.22240,6.52472,0.00561,0.00000,0.00625,0.00654,0.00440,0.07157,0.15784
nan,hybrid,30.0,138.93,17.19804,0.41702,0.21320,6.48527,0.00943,0.00040,0.01202,0.01033,0.00986,0.06825,0.13607
nan,dualmap,0.0,137.47,0.00000,0.41249,0.27505,6.05476,0.00000,0.00000,0.01164,0.00118,0.00000,0.03312,0.08899
nan,dualmap,0.5,137.47,0.49841,0.41385,0.27237,5.98421,0.00000,0.00000,0.01166,0.00122,0.00068,0.03249,0.09251
nan,dualmap,1.0,137.47,0.99712,0.41385,0.27237,5.98421,0.00000,0.00000,0.01166,0.00122,0.00068,0.03249,0.09251
nan,dualmap,2.0,137.47,1.50249,0.41385,0.27237,5.98421,0.00000,0.00000,0.01166,0.00122,0.00067,0.03249,0.09251
nan,dualmap,5.0,137.47,3.03693,0.41380,0.27200,6.05476,0.00246,0.00000,0.01183,0.00369,0.00225,0.02620,0.08545
nan,dualmap,10.0,137.47,5.54249,0.41386,0.27137,6.05476,0.00319,0.00000,0.01175,0.00442,0.00384,0.02758,0.08878
nan,dualmap,30.0,137.47,17.19804,0.41321,0.27062,6.05476,0.01553,0.00075,0.01165,0.01663,0.01393,0.02729,0.08876
nan,p2c,reference,nan,0.00000,0.33616,0.31370,6.76185,0.00000,0.00000,0.08887,0.00017,0.00000,0.04389,0.12422
nan,round_robin,reference,nan,0.00000,0.34354,0.30240,7.06303,0.00000,0.00000,0.07958,0.00003,0.00000,0.02166,0.09226
